nombreTabla,numeroTabla,cantidadFilas,espacio
album,1,347,0.000061035156
artist,2,275,0.000015258789
customer,3,59,0.000030517578
employee,4,8,0.000030517578
genre,5,25,0.000015258789
invoice,6,412,0.000076293945
invoiceline,7,2240,0.000228881836
mediatype,8,5,0.000015258789
playlist,9,18,0.000015258789
playlisttrack,10,8715,0.000656127930
track,11,3483,0.000610351563
